,store_clus,logistic_qty,disc,yr_wk_num,intcp,prod_lvl_3_cd,discflag
1371365,1,-2.090913331,0,201704,1,668,1
1371383,2,-0.36272274,0,201706,1,668,1
1371390,2,-0.304796032,0,201705,1,668,1
1371561,2,-0.955182425,0,201705,1,668,1
1371574,4,-2.510296648,0,201706,1,668,1
1371616,2,-0.916290732,0,201705,1,668,1
1371632,2,-0.189391848,0,201704,1,668,1
1371633,1,-0.892625242,0,201705,1,668,1
1371654,2,-0.923635348,0.1,201706,1,668,1
1371671,2,-1.809447108,0,201706,1,668,1
1371711,2,0.203653052,0,201704,1,668,1
1371735,2,1.936792401,0,201706,1,668,1
1371764,1,-0.197389045,0,201706,1,668,1
1371771,2,2.995732274,0,201706,1,668,1
1371846,1,-0.892625242,0,201704,1,668,1
1371874,4,-0.334382477,0,201706,1,668,1
1371896,4,2.995732274,0,201704,1,668,1
1371991,1,-0.286760835,0,201706,1,668,1
1371992,2,-0.918582634,0,201706,1,668,1
1371997,2,-0.906480717,0,201704,1,668,1
1372006,1,-1.307177049,0,201706,1,668,1
1372073,1,-0.892625242,0.1,201706,1,668,1
1372090,1,-0.936971293,0,201706,1,668,1
1372201,1,-1.306240901,0,201705,1,668,1
1372265,1,-1.307177049,0,201705,1,668,1
1372283,1,-0.948540495,0,201706,1,668,1
1372322,1,1.663236918,0,201705,1,668,1
1372346,1,-0.170329386,0,201705,1,668,1
1372354,2,2.995732274,0,201706,1,668,1
1372397,2,-0.229681246,0,201704,1,668,1
1372445,1,-1.331238075,0,201704,1,668,1
1372495,2,-0.293836862,0,201705,1,668,1
1372512,2,-0.385372834,0,201704,1,668,1
1372523,1,-1.288070187,0,201705,1,668,1
1372550,2,-0.910116384,0,201706,1,668,1
1372565,1,-1.306373954,0,201706,1,668,1
1372643,2,-0.289688123,0,201705,1,668,1
1372714,1,-0.901824795,0,201706,1,668,1
1372770,2,-0.924152129,0.0998,201706,1,668,1
1372773,2,-0.320049163,0,201704,1,668,1
1372796,2,-1.299742364,0,201705,1,668,1
1372834,1,-0.936971293,0,201704,1,668,1
1372836,1,-0.33136188,0,201705,1,668,1
1372853,2,1.789235486,0,201704,1,668,1
1373064,2,-0.334639571,0,201705,1,668,1
1373096,1,0.283950608,0,201706,1,668,1
1373106,2,1.551972929,0,201705,1,668,1
1373196,2,-0.189391848,0,201704,1,668,1
1373228,1,-1.306373954,0,201704,1,668,1
1373251,2,-0.910116384,0,201704,1,668,1
1373274,2,-0.919875251,0,201706,1,668,1
1373330,2,-0.35180904,0,201705,1,668,1
1373344,2,-0.304796032,0,201706,1,668,1
1373352,1,-0.972626517,0,201705,1,668,1
1373370,1,-1.306373954,0,201705,1,668,1
1373375,1,-0.340105448,0,201706,1,668,1
1373532,2,2.995732274,0,201706,1,668,1
1373606,2,-0.222928359,0,201706,1,668,1
1373642,2,0.283865149,0,201704,1,668,1
1373673,2,-0.31818775,0,201706,1,668,1
1373712,2,-0.31818775,0,201704,1,668,1
1373802,3,-0.244787696,0.1,201704,1,668,1
1373843,1,-0.223143551,0,201704,1,668,1
1373878,1,-0.972626517,0,201706,1,668,1
1373883,1,-0.901824795,0,201705,1,668,1
1373926,2,-1.941520959,0,201706,1,668,1
1374021,2,1.840804092,0.0667,201706,1,668,1
1374040,2,-2.810500792,0,201704,1,668,1
1374058,2,-1.328541196,0,201706,1,668,1
1374124,2,-0.313310699,0,201706,1,668,1
1374149,1,-0.317846811,0,201705,1,668,1
1374159,2,0.164095484,0,201705,1,668,1
1374212,1,-0.929846847,0,201705,1,668,1
1374253,3,2.995732274,0,201704,1,668,1
1374271,1,0.358473311,0,201706,1,668,1
1374283,1,0.358473311,0,201704,1,668,1
1374333,1,-1.312246008,0,201705,1,668,1
1374350,1,-0.935636269,0,201705,1,668,1
1374426,2,-0.892683793,0,201705,1,668,1
1374492,3,-0.366256997,0,201704,1,668,1
1374495,2,-0.286760835,0,201704,1,668,1
1374497,2,-0.333501679,0,201704,1,668,1
1374523,1,-0.286256544,0,201705,1,668,1
1374560,2,2.995732274,0,201704,1,668,1
1374572,2,1.745548469,0.028,201705,1,668,1
1374645,1,-1.312246008,0,201706,1,668,1
1374758,2,-0.286760835,0,201705,1,668,1
1374791,2,-0.286760835,0,201706,1,668,1
1374814,2,-0.906672351,0,201705,1,668,1
1374827,2,1.459120328,0,201704,1,668,1
1374867,2,-0.279327761,0,201706,1,668,1
1374879,2,-0.927120417,0,201705,1,668,1
